circ_id	circ_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M180_1SF	M180_2SF	M180_3SF	M180_1PF	M180_2PF	M180_3PF	M30_1SF	M30_2SF	M30_3SF	M30_2PF	M30_3PF	M30_4PF
12:43096806|43097800	sus_circUTP6_19	6.42008593141135	-2.77461086770494	0.713076621440272	-3.89104169773619	9.98147762407606e-05	0.0176211470363497	0	0	3.32602847287733	3.03541517573695	1.72012459682875	1.34077575502112	2.21937531483795	6.99404340520951	12.8408492311062	11.7889088100012	25.3749220290632	8.40058838625405
12:53623053|53633146	sus_circNDEL1_22	5.12572390954706	-2.2191600320076	0.629609358462269	-3.52466176396676	0.00042402383056451	0.038925387645822	3.17730188522753	0.865544482074438	3.32602847287733	2.27656138180271	0.860062298414376	0	9.98718891677078	7.99319246309658	5.13633969244247	9.97523053153949	12.1358322747693	5.77540451554966
13:100108435|100110232	sus_circSMC4_38	10.0335266664843	-3.42885440335377	0.758684503394199	-4.51947336213376	6.19936467737081e-06	0.00216155877350092	3.17730188522753	0	1.66301423643866	2.27656138180271	0.860062298414376	2.68155151004224	3.32906297225693	9.99149057887072	1.28408492311062	32.6462090123111	22.0651495904897	40.4278316088476
13:120919103|120935351	sus_circMCCC1_4	35.4326635894152	-1.37938578145771	0.369325503798852	-3.73487822332727	0.000187806042472057	0.023869643496151	24.3593144534111	11.2520782669677	17.461649482606	25.8010289937641	19.7814328635306	20.1116363253168	23.3034408057985	30.9736207944992	29.5339532315442	94.3112704800097	58.4726464147977	69.8298909607368
13:82884596|82893436	sus_circTFDP2_37	6.2963624261013	-2.8035606505274	0.7597477857155	-3.69012019941212	0.000224148114994403	0.0257209961956077	6.35460377045507	0	0	1.51770758786847	1.72012459682875	0	13.3162518890277	1.99829811577414	12.8408492311062	19.950461063079	11.0325747952448	6.82547806383142
15:105113267|105123855	sus_circSTRADB_35	15.4598276828892	-1.36207596422111	0.384393549415991	-3.54344126297258	0.00039494127592362	0.0377662595101961	3.17730188522753	9.52098930281882	6.65205694575466	10.6239531150793	13.76099677463	8.04465453012673	12.2065642316087	21.9812792735156	28.2498683084336	22.6709784807716	17.6521196723918	30.9771696743118
16:60293074|60314538	sus_circHMMR,U6_3	5.184190920587	-2.36546808219079	0.68373110127772	-3.45964674968029	0.000540884456342306	0.0471779713303353	1.05910062840918	3.46217792829775	1.66301423643866	0.758853793934237	0.860062298414376	2.68155151004224	8.87750125935181	1.99829811577414	3.85225476933185	11.7889088100012	11.0325747952448	14.1759929018037
17:40253732|40256075	sus_circRBL1_46	5.19970601433333	-2.27525578688907	0.66481284264659	-3.42240047263736	0.000620708174349263	0.0471779713303353	0	0.865544482074438	1.66301423643866	3.79426896967119	1.72012459682875	2.68155151004224	7.76781360193283	4.99574528943536	2.56816984622124	9.97523053153949	13.2390897542938	13.125919353522
2:131354294|131363905	sus_circFBN2_19	3.4430156341093	-4.27601862031182	1.03620059896372	-4.12663206775616	3.68114638287669e-05	0.00704019245725168	0	0	0	0	1.72012459682875	0	8.87750125935181	7.99319246309658	8.98859446177432	1.81367827846173	7.72280235667139	4.20029419312703
3:32569056|32577584	sus_circATF7IP2_17	5.17417060464913	-2.18522665306836	0.636099223232401	-3.43535500949665	0.000591778035278603	0.0471779713303353	0	3.46217792829775	2.494521354658	1.51770758786847	0	4.02232726506337	8.87750125935181	4.99574528943536	7.70450953866371	11.7889088100012	8.82605983619588	8.40058838625405
6:34513016|34516600	sus_circBRD7_30	17.6994162693774	-2.20519823780029	0.643357067136633	-3.42764282922218	0.000608845929122038	0.0471779713303353	1.05910062840918	4.32772241037219	1.66301423643866	8.34739173327661	3.4402491936575	20.1116363253168	43.2778186393401	40.96511137337	7.70450953866371	2.72051741769259	33.0977243857346	45.6781993502564
9:107710908|107712562	sus_circLAMB1_27	5.28570488197666	-2.6002546255007	0.711145933991882	-3.65642901296596	0.000255753192588555	0.0279501703328921	3.17730188522753	2.59663344622331	0	3.03541517573695	0	0	8.87750125935181	13.988086810419	3.85225476933185	14.5094262276938	5.51628739762242	7.87555161211317
9:114390363|114391922	sus_circDNM3_7	22.6806499623283	-1.89131171498146	0.491895934601113	-3.84494276521142	0.000120580579401833	0.0197666021233719	14.8274087977285	8.65544482074438	9.97808541863198	8.34739173327661	6.02043608890063	10.726206040169	11.0968765741898	13.988086810419	12.8408492311062	82.5223616700085	37.5107543038325	55.6538980589331
